SMILES,Fitness Values
N#CCCCCCCCC(=O)CONOCOCC#N,"(1.0, 1.0, 1.0, 0.38150649999999997, 0.48010152, 0.2940064238567066)"
N#CCCCCCCC(=O)CCONCOCOC#N,"(1.0, 1.0, 1.0, 0.38150649999999997, 0.48010152, 0.22398612102677717)"
N#CCCCCCCCC(=O)COCOCONC#N,"(1.0, 1.0, 1.0, 0.38150649999999997, 0.48010152, 0.17014837261036797)"
C=C(ONOCCCC#N)ONOCCCCCC#N,"(1.0, 1.0, 1.0, 0.381274, 0.4844648685714287, 0.28195394263920404)"
C#CCOCCCOCCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3803145, 0.4544828228571429, 0.3579968923928661)"
C#CCCCCCOCC(=O)CCOCCOCC#N,"(1.0, 1.0, 1.0, 0.3803145, 0.4544828228571429, 0.3579968923928661)"
C#CCOCCCCOCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3803145, 0.4544828228571429, 0.3579968923928661)"
C#CCCCOCCC(=O)COCCOCCCC#N,"(1.0, 1.0, 1.0, 0.3803145, 0.4544828228571429, 0.3579968923928661)"
C=C(NCCCOCCCC#N)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.38502550227585697)"
C=C(CCOCCNCCC#N)OCCCCOC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCNCCCOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCOCCCOCC#N)CCONCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CNCCCCOCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCOCCNCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CNCOCOCC#N)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCOCCCC#N)CCOCCNOCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(COCNCCC#N)OCCCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCCCOCOCC#N)OCCNCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCCNOCCC#N)COCCCOCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(COCCCCCC#N)OCNCCOCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(COCCOCCC#N)OCNCCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CNOCCCCC#N)COCCOCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(COCCCNCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.29611386897157227)"
C=C(CCCCOCCNC#N)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCCCNC#N)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCCC#N)CCOCOCNCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCNC#N)OCCCCOCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCCCC#N)COCCONCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCCCC#N)COCOCNCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(COCCOCCC#N)OCCCCCNC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCNCOCCCC#N)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.225591658927492)"
C=C(CCOCCCNC#N)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.17136800023603793)"
C=C(CCOCCCC#N)CCOCOCCNC#N,"(1.0, 1.0, 1.0, 0.38011400000000006, 0.4713556114285716, 0.17136800023603793)"
C#COCCOCOC(=C)NCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.4588461714285716, 0.22618795363172337)"
C#CCCOCCOCC(=C)ONOCCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.4588461714285716, 0.22618795363172337)"
C#CCCOCOCOC(=C)NCOCCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.4588461714285716, 0.22618795363172337)"
C#CCCNOCOCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.4588461714285716, 0.17182096836217026)"
C#CCONCOCOC(=C)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.4588461714285716, 0.17182096836217026)"
C#CCCCOCOC(=C)NCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.22618795363172337)"
C#CCCCOCOCNC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.22618795363172337)"
C#COCNCCCC(=C)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.22618795363172337)"
C#CCCCOCCCC(=C)NCOCOCOC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.22618795363172337)"
C#CCCCCCNC(=C)OCOCOCOCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.22618795363172337)"
C#CCCNOCOC(=C)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.17182096836217026)"
C#CCCCOCOC(=C)CCOCONCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.17182096836217026)"
C#CCOCOCCCCC(=C)OCONCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.17182096836217026)"
C#CCCONCOCC(=C)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.17182096836217026)"
C#COCOCCOC(=C)CCCNOCCCC#N,"(1.0, 1.0, 1.0, 0.38008200000000003, 0.45884617142857154, 0.17182096836217026)"
C#CCCCCCOC(=O)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.3789445, 0.3849628228571429, 0.22431837097781956)"
C#CCCCOCOC(=O)CCCCOCCCC#N,"(1.0, 1.0, 1.0, 0.3789445, 0.3849628228571429, 0.22431837097781956)"
C#CCCCCCOC(=O)CCCCOCOCC#N,"(1.0, 1.0, 1.0, 0.3789445, 0.3849628228571429, 0.22431837097781956)"
C#CCOCOCCCNC(=CF)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.378822, 0.4610077714285715, 0.2275386698032475)"
C#CCCOCCOC(=CF)NOCCOCCCC#N,"(1.0, 1.0, 1.0, 0.378822, 0.4610077714285715, 0.2275386698032475)"
C#CCCOCCOC(=CF)NCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.378822, 0.4610077714285715, 0.2275386698032475)"
C#CCCCOCOCC(=CF)CCOCCONC#N,"(1.0, 1.0, 1.0, 0.378822, 0.4610077714285715, 0.13129291960109368)"
[C]OCC(=C)OCCCOC=NC,"(1.0, 1.0, 1.0, 0.3785922500000001, 0.5104851714285714, 0.24567854776740378)"
C#CCCCCCOCC(=O)CCONOCCC#C,"(1.0, 1.0, 1.0, 0.37829749999999995, 0.4524708228571429, 0.2978470602764476)"
C#CNOCCCCCCC(=O)CCOCCOC#C,"(1.0, 1.0, 1.0, 0.37829749999999995, 0.4524708228571429, 0.22691207496563126)"
C#CCCCCCOCC(=N)CCOCCONC#N,"(1.0, 1.0, 1.0, 0.37813375000000005, 0.47932804000000007, 0.12612010368415785)"
C#CONOCCCOCC(=C)NCCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.28620000546130087)"
C#CCCCONOCNC(=C)COCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCCONOCNC(=C)CCCOCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCOCCCC(=C)NCONOCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCCOCONC(=C)NCOCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCOCCCNC(=C)ONOCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCCONOCNC(=C)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCCNOCCC(=C)NOCOCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CCCOCCONC(=C)ONCCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.21803887214506154)"
C#CNOCCCCCCC(=C)NCOCOCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#CCCCCCCOCC(=C)NCOCNOC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#CONCCCCC(=C)CCOCONCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#CCCCOCNCOC(=C)NOCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#CCCCOCONOC(=C)CNCCCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#CCCNOCCCCC(=C)OCONCCC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.16563061626861783)"
C#COCCOCCC(=C)CCCCCNONC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.12581140662907284)"
C#CCCCCCNOC(=C)CCOCCONC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.12581140662907284)"
C#CNOCCCCCCC(=C)NCOCCOC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.12581140662907284)"
C#COCCCCCC(=C)CCOCNCONC#N,"(1.0, 1.0, 1.0, 0.378097, 0.46934361142857145, 0.09582205001032483)"
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"(1.0, 1.0, 1.0, 0.3775950000000001, 0.0, 0.1602549248393448)"
N#CCCCOCCC(=O)COCCCCOCC#N,"(1.0, 1.0, 1.0, 0.3775740000000001, 0.4856781714285715, 0.4492588865545985)"
N#CCCCOCCOCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3775740000000001, 0.4856781714285714, 0.4492588865545985)"
C=C(COCCOCCC#N)ONOCCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.29356467109278567)"
C=C(CCOCCOCCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.29356467109278567)"
C=C(NCOCOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.29356467109278567)"
C=C(COCCCCCC#N)OCONCOCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(CCCCOCOCC#N)OCONCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(COCCCCCC#N)ONCOCOCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(CCOCOCCCC#N)OCONCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(CCOCONCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(COCNOCCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(NOCCOCCC#N)OCOCCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(NCOCCCCCC#N)OCOCCOC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(NCOCCCCOC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(CNOCOCCCC#N)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(OCCCOCCCC#N)OCONCCC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.22364957569982288)"
C=C(CCOCOCCCC#N)OCCCONC#N,"(1.0, 1.0, 1.0, 0.3773415, 0.49004152000000006, 0.12904885919640058)"
C#CCCCCCOC(=N)CCONOCCCC#N,"(1.0, 1.0, 1.0, 0.37676375000000006, 0.4098080400000001, 0.1777657270275705)"
N#CCCCCCOC(=O)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.376204, 0.4161581714285714, 0.2921871971643822)"
N#CCCCCCOCOC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.376204, 0.4161581714285714, 0.2921871971643822)"
N#CCCCOCOC(=O)CCCCCCOCC#N,"(1.0, 1.0, 1.0, 0.376204, 0.4161581714285714, 0.2921871971643822)"
N#CCCCCCCOC(=O)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.376204, 0.4161581714285714, 0.2921871971643822)"
N#CCOCOCOC(=N)CCCCCCCOC#N,"(1.0, 1.0, 1.0, 0.37600825000000004, 0.43050594857142854, 0.1825183069205078)"
C#CCCCCCOCCC(=O)CCONOCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCCOCCC(=O)CCONOCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCCONOCCC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCCONOCC(=O)CCOCCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCCCCOCC(=O)CCONOCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCONOCCC(=O)CCOCCCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCONOCCC(=O)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCOCCCCCC(=O)CCONOCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#CCCCCOCCC(=O)CONOCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2954590358542089)"
C#COCONCCOCC(=O)CCCCCCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2250927802705088)"
C#CONCOCCC(=O)CCCCCCOCC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.2250927802705088)"
C#CCCCOCONCC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.17098903304277333)"
C#CNOCCCCCCC(=O)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.17098903304277333)"
C#CCOCCCCCCC(=O)CCOCNOC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.17098903304277333)"
C#COCCOCCC(=O)CCCCCCONC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.17098903304277333)"
C#CCCOCOCCC(=O)CCCCCONC#N,"(1.0, 1.0, 1.0, 0.37555700000000003, 0.48366617142857155, 0.12988160794117803)"
C#CCCCONOCCC(=C)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.37532450000000006, 0.4880295200000001, 0.21621891679412208)"
C#CCCCONOC(=C)CCONOCCCC#N,"(1.0, 1.0, 1.0, 0.37532450000000006, 0.4880295200000001, 0.21621891679412208)"
N#COCCCCCCNC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857156, 0.41230267634924733)"
N#CCCCCCCCCC(=O)NCOCOCC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857156, 0.41230267634924733)"
N#CCCCCCCCCC(=O)NCOCCOC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857156, 0.317092088600504)"
N#CCCCCCOCNC(=O)CCCCCOC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857156, 0.317092088600504)"
N#CCCCCCONC(=O)CCOCCCCC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857134, 0.41230267634924733)"
N#CCCCCCCC(=O)NCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857134, 0.41230267634924733)"
N#CCCCCCCONC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857134, 0.41230267634924733)"
N#CCCCCCCC(=O)NCOCCCCOC#N,"(1.0, 1.0, 1.0, 0.3742190000000001, 0.42665561142857134, 0.317092088600504)"
C#CCCCOCCC(=C)NCOCOCOCC#C,"(1.0, 1.0, 1.0, 0.3741325, 0.46241082285714297, 0.29670538835873167)"
C#CCCCOCOC(=C)NCCCOCOCC#C,"(1.0, 1.0, 1.0, 0.3741325, 0.46241082285714297, 0.22604230259474248)"
C#CCCCOCOCC(=C)CCOCCONC#C,"(1.0, 1.0, 1.0, 0.3741325, 0.46241082285714297, 0.13042949528833908)"
C#CCCCCCCC(=O)CCONOCCNC#N,"(1.0, 1.0, 1.0, 0.373572, 0.49416361142857157, 0.16475502311925921)"
C#CCCCCCOCCC(=O)CCCNONC#N,"(1.0, 1.0, 1.0, 0.373572, 0.49416361142857157, 0.16475502311925921)"
C#CNCCCCCC(=O)CCCCOCONC#N,"(1.0, 1.0, 1.0, 0.373572, 0.49416361142857157, 0.125146314581254)"
C#COCCCCCC(=O)CCCCNCONC#N,"(1.0, 1.0, 1.0, 0.373572, 0.49416361142857157, 0.125146314581254)"
C#CCCOCCOC(=CF)CCOCOCNCC#C,"(1.0, 1.0, 1.0, 0.37287250000000005, 0.4645724228571429, 0.22743146273268336)"
N#CCCCCOCCC(=O)CONOCCCC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.37936268919951693)"
N#CCCCCCOCCC(=O)CCONOCC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.37936268919951693)"
N#CCCCOCCCCC(=O)CCONCOC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.22227374001423375)"
N#CCOCCCCCCC(=O)CCOCNOC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.22227374001423375)"
N#CNOCCCCCCC(=O)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.22227374001423375)"
N#CCCCCCOCCC(=O)CCOCONC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.1688475828951949)"
N#CCCOCOCCC(=O)CCCCCONC#N,"(1.0, 1.0, 1.0, 0.3728165, 0.5148615200000001, 0.1688475828951949)"
C#CCCCOCCC(=N)OCOCOCCCC#C,"(1.0, 1.0, 1.0, 0.37279925, 0.40287525142857145, 0.184697889269689)"
C#CCCCCCOCCC(=N)OCOCOCC#C,"(1.0, 1.0, 1.0, 0.37279925, 0.40287525142857145, 0.184697889269689)"
C=C(CCONOCCCC#N)ONOCCCC#N,"(1.0, 1.0, 1.0, 0.372584, 0.5192248685714287, 0.2797763904146748)"
C#CNOCOCCCCC(=CCl)NCOCCOC#N,"(1.0, 1.0, 1.0, 0.37210699999999997, 0.49538832000000005, 0.1249780800386399)"
C(=O)N[C]OCC(=C)CCCCOC=C,"(1.0, 1.0, 1.0, 0.37204725000000005, 0.45577495428571435, 0.18567714054360784)"
C#CCOCCCOCC(=N)CCOCOCCC#N,"(1.0, 1.0, 1.0, 0.37142875, 0.5035906000000001, 0.22493406002048333)"
C#CCCOCOCCC(=N)COCCCOCC#N,"(1.0, 1.0, 1.0, 0.37142875, 0.5035906000000001, 0.22493406002048333)"
C=C(COCCOCCC#N)OCCCNCCC#N,"(1.0, 1.0, 1.0, 0.371424, 0.5061156114285715, 0.38189921718038156)"
C=C(CCNCCCOCC#N)CCOCCOC#N,"(1.0, 1.0, 1.0, 0.371424, 0.5061156114285715, 0.29370951816972296)"
C#COCCOCNC(=C)CCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.29448256594996064)"
C#CCCCOCOCC(=C)NCOCOCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.29448256594996064)"
C#CCCCOCOCNC(=C)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.22434886555162983)"
C#CCOCCCOC(=C)NCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.22434886555162983)"
C#CCCOCCOC(=C)NCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.22434886555162983)"
C#CCOCCCOCC(=C)CCONOCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.22434886555162983)"
C#CNCCOCOC(=C)CCCCOCOCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCCOCOCCC(=C)OCCNCOC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCCNOCOC(=C)COCCOCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCCOCOCC(=C)CCONCOCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCOCCCCNC(=C)OCOCCOC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#COCCOCCC(=C)CCOCONCCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCCOCOCCC(=C)OCOCNCC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1704239271415777)"
C#CCCOCOCOC(=C)CCOCCCNC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#CCOCCCOCCC(=C)CCONCOC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#CCCCOCOC(=C)OCCCOCCNC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#CCCCOCOC(=C)CCOCOCCNC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#COCCOCCCCC(=C)OCOCCNC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#COCCCCOCC(=C)OCOCCCNC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.1294523589899545)"
C#CCCCOCOCC(=C)CCOCCONC#N,"(1.0, 1.0, 1.0, 0.37139200000000006, 0.4936061714285715, 0.09859511748137074)"
C#CCCCOCCC(=C)NCOCOCOCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.29448256594996064)"
C#COCCOCOC(=C)NCCCCOCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CCOCOCCCNC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CCCNCCOCOC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CCOCNCCCOC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CCCOCOCOC(=C)NCCCOCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#COCCONCCC(=C)OCCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CCCOCCNC(=C)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.22434886555162983)"
C#CNCCCOCOC(=C)COCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.1704239271415777)"
C#CCCNOCOCCC(=C)OCCOCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.1704239271415777)"
C#CCCOCCOCC(=C)ONCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.1704239271415777)"
C#CNCCOCOCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.1704239271415777)"
C#CCOCCNOCCC(=C)OCOCCCC#N,"(1.0, 1.0, 1.0, 0.37139199999999994, 0.4936061714285716, 0.1704239271415777)"
[C]OCC(=C)CCCON=O,"(1.0, 1.0, 1.0, 0.37082475000000004, 0.4777638114285715, 0.24316239047813865)"
C#CNONOCOCC(=O)CCCCCCCC#N,"(1.0, 1.0, 1.0, 0.37079949999999995, 0.5128495200000002, 0.16324274201420116)"
[C]CC(CCCON=O)N=O,"(1.0, 1.0, 1.0, 0.3706947500000001, 0.4954400171428572, 0.3197654669210199)"
C#CCCOCCCOC(=O)COCCCCCC#N,"(1.0, 1.0, 1.0, 0.37025450000000004, 0.41972282285714296, 0.29350047057449563)"
C#CCOCCCCCOC(=O)CCOCCCC#N,"(1.0, 1.0, 1.0, 0.37025450000000004, 0.41972282285714296, 0.29350047057449563)"
C#CCCOCCOC(=CF)CCOCOCNCC#N,"(1.0, 1.0, 1.0, 0.370132, 0.49576777142857154, 0.1713647238736469)"
C#CCCCOCOCOC(=N)COCCCCC#N,"(1.0, 1.0, 1.0, 0.3700587500000001, 0.4340706000000001, 0.18364781890320964)"
C#CCCCCOCC(=N)OCOCOCCCC#N,"(1.0, 1.0, 1.0, 0.3700587500000001, 0.4340706000000001, 0.18364781890320964)"
C#CCCCCCOCCC(=N)OCOCOCC#N,"(1.0, 1.0, 1.0, 0.3700587500000001, 0.4340706000000001, 0.18364781890320964)"
